,user_id,age,gender,education_level,country,test_run_id,battery_id,time_of_day,subtest_27,subtest_28,subtest_29,subtest_30,subtest_32,subtest_33,subtest_36,subtest_37,subtest_38,subtest_39,subtest_40,model_A_scores,model_B_scores,model_C_scores,Model_C_probabilities,Model_C_label,Model_A_probabilities,Model_A_label,Model_B_probabilities,Model_B_label
0,38879720,24.0,f,College degree,US,352185,26,22,1.0,0.8333333333333333,0.7333333333333334,0.7142857142857142,0.7985074626865671,0.5714285714285714,1.0,1.0,0.9852941176470588,0.9709302325581394,0.9789473684210526,0.8768312386016904,0.9301645719350236,0.886924888001749,0.0117148834860399,1,0.0117148834860399,0,0.0118562874251497,1
1,26096701,21.0,m,High school diploma / GED,US,456405,26,0,0.7777777777777778,0.8333333333333333,0.7,0.4285714285714285,0.7985074626865671,0.9999999999999998,1.0,1.0,0.9705882352941176,0.9767441860465116,0.968421052631579,0.8208411043799071,0.9252855488243514,0.8791046884204885,0.0116441815164851,1,0.011149267729601,1,0.0117855854555948,1
2,27106672,38.0,m,Some college,US,113339,26,12,0.888888888888889,0.6666666666666665,0.5666666666666667,0.6666666666666665,0.8208955223880597,0.7142857142857142,1.0,1.0,0.8529411764705883,0.9593023255813952,0.9421052631578948,0.7943948886042175,0.9032837774931062,0.8380511172648359,0.0106543539427169,1,0.0105129500036072,1,0.0117148834860399,0
3,20468155,54.0,m,Some college,US,612364,26,15,0.888888888888889,0.6666666666666665,0.9,0.8095238095238095,0.8917910447761194,0.2857142857142856,1.0,1.0,0.823529411764706,0.9360465116279068,0.9210526315789472,0.8591759891187396,0.9013982113409617,0.8444623026491269,0.0109371618209364,1,0.0115734795469302,1,0.0116441815164851,1
4,12697144,34.0,m,College degree,US,601492,26,10,0.888888888888889,0.8333333333333333,0.9,0.5714285714285714,0.8059701492537313,0.5714285714285714,1.0,0.9090909090909092,0.9558823529411764,0.9767441860465116,0.9421052631578948,0.8742093881236933,0.8982497921640973,0.868802110784897,0.0113613736382656,1,0.0116441815164851,1,0.0115734795469302,1
5,26169972,22.0,m,College degree,US,163389,26,10,1.0,0.6666666666666665,0.9666666666666666,0.7142857142857142,0.7518656716417911,0.4285714285714285,1.0,0.9090909090909092,0.9852941176470588,0.9709302325581394,0.963157894736842,0.9079549476368292,0.8964397961216776,0.8620535721612657,0.0112199696991559,1,0.0118562874251497,1,0.0115027775773753,1
6,18672077,45.0,m,Some college,US,711217,26,20,0.7777777777777778,1.0,0.6666666666666666,0.7619047619047619,0.8227611940298507,0.4285714285714285,1.0,1.0,0.8088235294117647,0.9651162790697674,0.7,0.7836648766298142,0.8947759877409253,0.8210929324292484,0.0098766322776134,1,0.0100180362167231,1,0.0114320756078205,1
7,38923994,35.0,m,College degree,US,680600,26,6,0.7777777777777778,1.0,0.7,0.9999999999999998,0.7294776119402985,0.857142857142857,0.7272727272727273,1.0,1.0,1.0,0.963157894736842,0.8435507583975771,0.8934497482965669,0.8938907252300811,0.0118562874251497,1,0.0115027775773753,1,0.0113613736382656,1
8,9784194,43.0,f,Master's degree,US,620368,26,9,0.6666666666666666,0.6666666666666665,0.7666666666666667,0.5714285714285714,0.8899253731343284,0.4285714285714285,1.0,1.0,1.0,0.9767441860465116,0.9526315789473684,0.7775822539688341,0.8909155873021672,0.868900661929033,0.0115027775773753,1,0.0097352283385037,1,0.0112906716687107,1
9,39073329,24.0,m,Master's degree,US,134518,26,11,0.888888888888889,0.5,0.7,0.5238095238095237,0.9123134328358208,0.4285714285714285,1.0,1.0,1.0,0.9651162790697674,0.9789473684210526,0.8051156813559992,0.8873379035782213,0.8698005901453856,0.0115734795469302,1,0.0109371618209364,1,0.0112199696991559,1
10,19923318,33.0,m,Master's degree,US,734235,26,11,0.888888888888889,0.6666666666666665,0.8,0.5714285714285714,0.8507462686567164,0.5714285714285714,1.0,0.9090909090909092,0.9705882352941176,0.9709302325581394,0.9578947368421052,0.8423902915570628,0.8864306955974669,0.8688794145694518,0.0114320756078205,1,0.0114320756078205,1,0.011149267729601,1
11,39088348,22.0,m,Professional degree,AU,241275,26,9,0.888888888888889,0.8333333333333333,0.4333333333333333,0.3809523809523809,0.7294776119402985,0.5714285714285714,1.0,1.0,1.0,0.9709302325581394,0.9473684210526316,0.7485302448603867,0.8840858004159421,0.8299813228040018,0.0103715460644975,0,0.0074020633431931,1,0.0110785657600461,0
12,39175300,22.0,m,Some college,US,340439,26,23,0.7777777777777778,0.5,0.5666666666666667,0.9523809523809524,0.8731343283582089,0.5714285714285714,1.0,0.9090909090909092,0.9705882352941176,0.9593023255813952,0.9263157894736842,0.7680910121773106,0.8810203051066036,0.867946636018887,0.0112906716687107,1,0.0090989106125099,1,0.0110078637904913,1
13,38396746,26.0,m,Some college,US,519963,26,4,0.888888888888889,0.8333333333333333,0.7333333333333334,0.8095238095238095,0.8768656716417911,0.4285714285714285,0.9090909090909092,0.9090909090909092,1.0,0.9825581395348836,0.936842105263158,0.8397347310608994,0.8789266502528186,0.890663420944813,0.0117855854555948,1,0.0113613736382656,1,0.0109371618209364,1
14,39093151,30.0,f,College degree,US,451593,26,20,0.6666666666666666,0.8333333333333333,0.8333333333333334,0.4285714285714285,0.6716417910447762,0.7142857142857142,0.9090909090909092,1.0,0.9558823529411764,0.9651162790697674,0.9526315789473684,0.795201898541819,0.8770200803600007,0.8207067273390094,0.0096645263689488,1,0.0106543539427169,1,0.0108664598513815,1
